timestamp_iso,correlated_with,correlation,lag_timestamp_iso
2025-10-01T01:16:00+0100,BNB-USDT,-0.777052,2025-10-01T01:15:00+0100
2025-10-01T01:17:00+0100,XRP-USDT,0.963962,2025-10-01T01:15:00+0100
2025-10-01T01:18:00+0100,SOL-USDT,0.985525,2025-10-01T01:16:00+0100
2025-10-01T01:19:00+0100,SOL-USDT,0.977744,2025-10-01T01:15:00+0100
2025-10-01T01:20:00+0100,XRP-USDT,0.988506,2025-10-01T01:17:00+0100
2025-10-01T01:21:00+0100,XRP-USDT,0.93645,2025-10-01T01:16:00+0100
2025-10-01T01:22:00+0100,SOL-USDT,0.984449,2025-10-01T01:15:00+0100
2025-10-01T01:23:00+0100,SOL-USDT,0.984449,2025-10-01T01:15:00+0100
2025-10-01T01:24:00+0100,ETH-USDT,0.99476,2025-10-01T01:16:00+0100
2025-10-01T01:25:00+0100,XRP-USDT,0.982695,2025-10-01T01:20:00+0100
2025-10-01T01:26:00+0100,SOL-USDT,0.98114,2025-10-01T01:19:00+0100
2025-10-01T01:27:00+0100,SOL-USDT,0.981487,2025-10-01T01:20:00+0100
2025-10-01T01:28:00+0100,SOL-USDT,0.996581,2025-10-01T01:26:00+0100
2025-10-01T01:29:00+0100,SOL-USDT,0.997753,2025-10-01T01:27:00+0100
2025-10-01T01:30:00+0100,SOL-USDT,0.996464,2025-10-01T01:28:00+0100
2025-10-01T01:31:00+0100,SOL-USDT,0.996464,2025-10-01T01:28:00+0100
2025-10-01T01:32:00+0100,XRP-USDT,0.994993,2025-10-01T01:31:00+0100
2025-10-01T01:33:00+0100,XRP-USDT,0.994993,2025-10-01T01:31:00+0100
2025-10-01T01:34:00+0100,BNB-USDT,0.995336,2025-10-01T01:34:00+0100
2025-10-01T01:35:00+0100,BNB-USDT,0.995336,2025-10-01T01:34:00+0100
2025-10-01T01:36:00+0100,DOGE-USDT,0.99317,2025-10-01T01:33:00+0100
2025-10-01T01:37:00+0100,BTC-USDT,0.986249,2025-10-01T01:23:00+0100
2025-10-01T01:38:00+0100,ADA-USDT,0.996826,2025-10-01T01:22:00+0100
2025-10-01T01:39:00+0100,ADA-USDT,0.998201,2025-10-01T01:23:00+0100
2025-10-01T01:40:00+0100,ADA-USDT,0.998201,2025-10-01T01:23:00+0100
2025-10-01T01:41:00+0100,ETH-USDT,0.994471,2025-10-01T01:17:00+0100
2025-10-01T01:42:00+0100,ETH-USDT,0.990051,2025-10-01T01:18:00+0100
2025-10-01T01:43:00+0100,DOGE-USDT,0.990259,2025-10-01T01:38:00+0100
2025-10-01T01:44:00+0100,SOL-USDT,0.998176,2025-10-01T01:25:00+0100
2025-10-01T01:45:00+0100,SOL-USDT,0.998977,2025-10-01T01:26:00+0100
2025-10-01T01:46:00+0100,SOL-USDT,0.994273,2025-10-01T01:27:00+0100
2025-10-01T01:47:00+0100,XRP-USDT,0.992618,2025-10-01T01:33:00+0100
2025-10-01T01:48:00+0100,XRP-USDT,0.994771,2025-10-01T01:34:00+0100
2025-10-01T01:49:00+0100,XRP-USDT,0.995606,2025-10-01T01:35:00+0100
2025-10-01T01:50:00+0100,DOGE-USDT,0.989272,2025-10-01T01:37:00+0100
2025-10-01T01:51:00+0100,DOGE-USDT,0.989272,2025-10-01T01:37:00+0100
2025-10-01T01:52:00+0100,BNB-USDT,-0.961162,2025-10-01T01:51:00+0100
2025-10-01T01:53:00+0100,BNB-USDT,-0.961162,2025-10-01T01:51:00+0100
2025-10-01T01:54:00+0100,BTC-USDT,0.990566,2025-10-01T01:46:00+0100
2025-10-01T01:55:00+0100,BTC-USDT,0.990566,2025-10-01T01:46:00+0100
2025-10-01T01:56:00+0100,DOGE-USDT,-0.999485,2025-10-01T01:18:00+0100
2025-10-01T01:57:00+0100,DOGE-USDT,-0.995803,2025-10-01T01:19:00+0100
2025-10-01T01:58:00+0100,DOGE-USDT,-0.995803,2025-10-01T01:19:00+0100
2025-10-01T01:59:00+0100,DOGE-USDT,-0.995818,2025-10-01T01:51:00+0100
2025-10-01T02:00:00+0100,DOGE-USDT,-0.995818,2025-10-01T01:51:00+0100
2025-10-01T02:01:00+0100,ETH-USDT,-0.995855,2025-10-01T01:43:00+0100
2025-10-01T02:02:00+0100,ETH-USDT,-0.996362,2025-10-01T01:44:00+0100
2025-10-01T02:03:00+0100,DOGE-USDT,-0.994686,2025-10-01T01:31:00+0100
2025-10-01T02:04:00+0100,DOGE-USDT,-0.996861,2025-10-01T01:27:00+0100
2025-10-01T02:05:00+0100,ADA-USDT,-0.993074,2025-10-01T01:36:00+0100
